site_id,outer_fold,strategy,K,selected_ex,relative_frobenius_error_fullrange,relative_frobenius_error_interpdomain,nrmse_energy_fullrange,spectral_cosine_fullrange,spectral_cosine_interpdomain,n_eval_fullrange,n_eval_interpdomain,rho_structure
S07,6,NAIG,8,365;425;480;575;510;305;695;625,0.24427243280407523,0.24674501231165416,0.2442724328040752,0.9705538996044004,0.9700246745818575,4139,4039,0.9715380405035576
S07,6,Uniform,2,300;700,0.32627734940041875,0.32627734940041875,0.32627734940041864,0.9551992488199629,0.9551992488199629,3782,3782,0.5593869731800767
S07,6,Uniform,3,300;500;700,0.31251966721072727,0.31251966721072727,0.31251966721072727,0.9622107253518082,0.9622107253518082,3885,3885,0.8308702791461414
S07,6,Uniform,4,300;435;565;700,0.30866179417579576,0.30866179417579576,0.30866179417579565,0.9604565923481378,0.9604565923481378,4142,4142,0.9337712096332788
S07,6,Uniform,6,300;380;460;540;620;700,0.2739200048154785,0.2739200048154785,0.2739200048154784,0.9638378383861194,0.9638378383861194,4142,4142,0.9589490968801314
S07,6,Uniform,8,300;355;415;470;530;585;645;700,0.24914698634866095,0.24914698634866095,0.24914698634866095,0.9685776767483136,0.9685776767483136,4142,4142,0.984126984126984
S08,7,NAIG,2,365;425,0.18468530061766633,0.14638745826295335,0.18468530061766633,0.9848261357936363,0.9899605537485204,4017,875,0.934865900383142
S08,7,NAIG,3,365;425;480,0.1844519370530696,0.15554536415889214,0.18445193705306961,0.9834198625513263,0.9882750955612124,4017,1548,0.9408866995073892
S08,7,NAIG,4,365;425;480;620,0.18119926900548836,0.16187153126678328,0.18119926900548836,0.9840659129365743,0.9868751439073578,4017,2712,0.9408866995073892
S08,7,NAIG,6,365;425;480;620;545;330,0.15315765977503298,0.15048621796412368,0.15315765977503298,0.9883007822230431,0.9886535290878491,4105,3255,0.9447181171319105
S08,7,NAIG,8,365;425;480;620;545;330;505;400,0.15188361302301964,0.1488418375368424,0.15188361302301964,0.9884683788042696,0.9888804687417729,4105,3255,0.9742747673782158
S08,7,Uniform,2,300;700,0.188186769187737,0.188186769187737,0.18818676918773702,0.982188174072459,0.982188174072459,3782,3782,0.8483853311439519
S08,7,Uniform,3,300;500;700,0.17322150653371715,0.17322150653371715,0.17322150653371712,0.9854296411750552,0.9854296411750552,3885,3885,0.8587848932676518
S08,7,Uniform,4,300;435;565;700,0.17137910114582772,0.17137910114582772,0.1713791011458277,0.9857878687741276,0.9857878687741276,4142,4142,0.908593322386426
S08,7,Uniform,6,300;380;460;540;620;700,0.16275798215681425,0.16275798215681425,0.16275798215681422,0.9867495280496879,0.9867495280496879,4142,4142,0.9064039408866996
