site_id,outer_fold,strategy,K,selected_ex,selected_ex_span_nm,lower_edge_gap_nm,upper_edge_gap_nm,rho_structure,relative_frobenius_error_fullrange,nrmse_energy_fullrange,spectral_cosine_fullrange,reconstruction_supported_fraction_fullrange,single_support_fraction_fullrange,unsupported_fraction_fullrange,target_positions_fullrange,supported_positions_fullrange,single_support_positions_fullrange,unsupported_positions_fullrange,relative_frobenius_error_interpdomain,nrmse_energy_interpdomain,spectral_cosine_interpdomain,reconstruction_supported_fraction_interpdomain,single_support_fraction_interpdomain,unsupported_fraction_interpdomain,target_positions_interpdomain,supported_positions_interpdomain,single_support_positions_interpdomain,unsupported_positions_interpdomain,relative_frobenius_error_edgeonly,nrmse_energy_edgeonly,spectral_cosine_edgeonly,reconstruction_supported_fraction_edgeonly,single_support_fraction_edgeonly,unsupported_fraction_edgeonly,target_positions_edgeonly,supported_positions_edgeonly,single_support_positions_edgeonly,unsupported_positions_edgeonly,reconstruction_supported_fraction,single_support_fraction,unsupported_fraction
S04,3,NAIG,2,425;360,65,60,275,0.9841269841269844,0.5968085181717399,0.59680851817174,0.8368246058046837,0.9715594119064835,0.19233550253073028,0.02844058809351651,4149,4031,798,118,0.6804181979831861,0.680418197983186,0.8837653581667976,0.9763374485596708,0.18724279835390947,0.023662551440329218,972,949,182,23,0.5618370651012972,0.5618370651012972,0.8333386753332793,0.9700975763298709,0.1938936103242052,0.029902423670129054,3177,3082,616,95,0.9715594119064835,0.19233550253073028,0.02844058809351651
S04,3,NAIG,3,425;360;620,260,60,80,0.9868637110016422,0.59615131757843,0.59615131757843,0.8366339061732544,0.9715594119064835,0.06869125090383225,0.02844058809351651,4149,4031,285,118,0.7845629994968671,0.7845629994968671,0.8725862689760593,0.991812032751869,0.051263794944820223,0.008187967248131008,2809,2786,144,23,0.4725260431608028,0.4725260431608029,0.8877361034567044,0.9291044776119403,0.10522388059701493,0.0708955223880597,1340,1245,141,95,0.9715594119064835,0.06869125090383225,0.02844058809351651
S04,3,NAIG,4,425;360;620;465,260,60,80,0.9737274220032844,0.562933033246591,0.562933033246591,0.8438174701904086,0.9715594119064835,0.02964569775849602,0.02844058809351651,4149,4031,123,118,0.7069297094929212,0.7069297094929211,0.8628430612552918,0.991812032751869,0.014951940192239232,0.008187967248131008,2809,2786,42,23,0.4733167293079527,0.4733167293079527,0.8868729981100837,0.9291044776119403,0.06044776119402985,0.0708955223880597,1340,1245,81,95,0.9715594119064835,0.02964569775849602,0.02844058809351651
S04,3,NAIG,6,425;360;620;465;545;525,260,60,80,0.9770114942528736,0.5586938063392827,0.5586938063392827,0.8443315730273279,0.9715594119064835,0.02964569775849602,0.02844058809351651,4149,4031,123,118,0.6979879562585072,0.6979879562585073,0.8597048885477918,0.991812032751869,0.014951940192239232,0.008187967248131008,2809,2786,42,23,0.4724817934856081,0.4724817934856082,0.8877896099240193,0.9291044776119403,0.06044776119402985,0.0708955223880597,1340,1245,81,95,0.9715594119064835,0.02964569775849602,0.02844058809351651
S04,3,NAIG,8,425;360;620;465;545;525;505;695,335,60,5,0.9786535303776684,0.5568845664047015,0.5568845664047015,0.8447359383242781,0.9715594119064835,0.02964569775849602,0.02844058809351651,4149,4031,123,118,0.6863966809434026,0.6863966809434026,0.8605595567202653,0.9927581863979849,0.01322418136020151,0.007241813602015114,3176,3153,42,23,0.47478667284255516,0.4747866728425554,0.8868679548503526,0.9023638232271326,0.08324768756423433,0.09763617677286741,973,878,81,95,0.9715594119064835,0.02964569775849602,0.02844058809351651
S04,3,Uniform,2,300;700,400,0,0,0.9064039408866996,0.4337658040580569,0.43376580405805687,0.9147387458482099,0.9115449505905038,0.606411183417691,0.08845504940949626,4149,3782,2516,367,0.4337658040580569,0.43376580405805687,0.9147387458482099,0.9115449505905038,0.606411183417691,0.08845504940949626,4149,3782,2516,367,,,,,,,0,0,0,0,0.9115449505905038,0.606411183417691,0.08845504940949626
S04,3,Uniform,3,300;500;700,400,0,0,0.9682539682539684,0.43393372731486496,0.433933727314865,0.9186975621832895,0.9363702096890817,0.18775608580380815,0.0636297903109183,4149,3885,779,264,0.43393372731486496,0.433933727314865,0.9186975621832895,0.9363702096890817,0.18775608580380815,0.0636297903109183,4149,3885,779,264,,,,,,,0,0,0,0,0.9363702096890817,0.18775608580380815,0.0636297903109183
S04,3,Uniform,4,300;435;565;700,400,0,0,0.9792008757526,0.4423983051400265,0.44239830514002654,0.9176312606851779,0.9983128464690287,0.1099060014461316,0.0016871535309713184,4149,4142,456,7,0.4423983051400265,0.44239830514002654,0.9176312606851779,0.9983128464690287,0.1099060014461316,0.0016871535309713184,4149,4142,456,7,,,,,,,0,0,0,0,0.9983128464690287,0.1099060014461316,0.0016871535309713184
S04,3,Uniform,6,300;380;460;540;620;700,400,0,0,0.9906951286261632,0.4250998923174594,0.4250998923174594,0.912732612465352,0.9983128464690287,0.04338394793926247,0.0016871535309713184,4149,4142,180,7,0.4250998923174594,0.4250998923174594,0.912732612465352,0.9983128464690287,0.04338394793926247,0.0016871535309713184,4149,4142,180,7,,,,,,,0,0,0,0,0.9983128464690287,0.04338394793926247,0.0016871535309713184
S04,3,Uniform,8,300;355;415;470;530;585;645;700,400,0,0,0.9928845101258896,0.3580493935409186,0.35804939354091875,0.9349537912339788,0.9983128464690287,0.023620149433598456,0.0016871535309713184,4149,4142,98,7,0.3580493935409186,0.35804939354091875,0.9349537912339788,0.9983128464690287,0.023620149433598456,0.0016871535309713184,4149,4142,98,7,,,,,,,0,0,0,0,0.9983128464690287,0.023620149433598456,0.0016871535309713184
