site_id,configuration_id,relative_frobenius_error,spectral_cosine,rho_structure,quadrant
S06,Uniform-6,0.5648078342247765,0.8285099263059743,0.9819376026272578,B_high_rho_high_error
S07,Uniform-6,0.2739200048154785,0.9638378383861194,0.9589490968801313,B_high_rho_high_error
S08,Uniform-6,0.16275798215681425,0.9867495280496879,0.9064039408866994,C_low_rho_low_error
S09,Uniform-6,0.19623624009384819,0.9806675537325014,0.9715380405035577,A_high_rho_low_error
S10,Uniform-6,0.3000909388247618,0.9550749424718529,0.9890530925013684,B_high_rho_high_error
S11,Uniform-6,0.24428203929153208,0.9702103098353627,0.9540229885057472,D_low_rho_high_error
S12,Uniform-6,0.2025180204877207,0.9792789745639773,0.950191570881226,C_low_rho_low_error
S13,Uniform-6,0.21509979613255864,0.9769639972842397,0.9337712096332785,C_low_rho_low_error
S14,Uniform-6,0.2853299547679544,0.9592694263475157,0.9896004378762999,B_high_rho_high_error
S15,Uniform-6,0.1563736326309432,0.987702486568628,0.9720853858784892,A_high_rho_low_error
S16,Uniform-6,0.2217394752949569,0.9751160259577961,0.9321291735084838,C_low_rho_low_error
S17,Uniform-6,0.1982739222337553,0.9805839152078647,0.962233169129721,A_high_rho_low_error
S18,Uniform-6,0.18317180947724515,0.9833292788006447,0.9562123700054733,A_high_rho_low_error
S19,Uniform-6,0.3001222813488381,0.9547865995978071,0.9967159277504104,B_high_rho_high_error
S20,Uniform-6,0.25025305171517226,0.9703184004318891,0.975369458128079,B_high_rho_high_error
S21,Uniform-6,0.5742383875419789,0.8212778860219655,0.9748221127531472,B_high_rho_high_error
S22,Uniform-6,0.4786111274389454,0.8829578592295221,0.9819376026272578,B_high_rho_high_error
S23,Uniform-6,0.21414230430522538,0.9768578586609172,0.960591133004926,A_high_rho_low_error
S24,Uniform-6,0.2778045953521917,0.9625195846062291,0.9649698960043787,B_high_rho_high_error
S25,Uniform-6,0.23292599844540415,0.9741388612397209,0.986863711001642,A_high_rho_low_error
S26,Uniform-6,0.234144126848677,0.9734812962972811,0.9715380405035577,A_high_rho_low_error
S27,Uniform-6,0.21649719292924052,0.9769926488538364,0.9693486590038315,A_high_rho_low_error
S28,Uniform-6,0.18353297015490266,0.9831060201998367,0.9786535303776682,A_high_rho_low_error
S30,Uniform-6,0.1746912293487718,0.9846799148195332,0.9715380405035577,A_high_rho_low_error
S01,Uniform-8,0.18686362580781685,0.9825785527360721,0.9490968801313627,C_low_rho_low_error
S02,Uniform-8,0.19434151799463312,0.9816294751453801,0.9863163656267103,A_high_rho_low_error
S03,Uniform-8,0.17345983799122053,0.9863949282249332,0.9824849480021893,A_high_rho_low_error
S04,Uniform-8,0.3580493935409186,0.9349537912339788,0.9928845101258894,B_high_rho_high_error
S05,Uniform-8,0.1719851548689386,0.9860141034011202,0.9852216748768472,A_high_rho_low_error
S06,Uniform-8,0.5449812609236478,0.8385035477711716,0.990695128626163,B_high_rho_high_error
S07,Uniform-8,0.24914698634866095,0.9685776767483136,0.9841269841269842,B_high_rho_high_error
S08,Uniform-8,0.1574840091159254,0.9876273484281937,0.9764641488779421,A_high_rho_low_error
S09,Uniform-8,0.167953973710123,0.9865283947819796,0.9896004378762999,A_high_rho_low_error
S10,Uniform-8,0.2518483130967748,0.9691169625751462,0.9950738916256158,B_high_rho_high_error
S11,Uniform-8,0.18968189175429165,0.9819431266265356,0.9841269841269842,A_high_rho_low_error
S12,Uniform-8,0.18069930464580053,0.9838873267059056,0.9912424740010948,A_high_rho_low_error
S13,Uniform-8,0.17799125508421124,0.9842383613569741,0.983032293377121,A_high_rho_low_error
S14,Uniform-8,0.23754971007943187,0.9726133489166786,0.9874110563765736,A_high_rho_low_error
S15,Uniform-8,0.14947804368828174,0.9888013285370817,0.9928845101258894,A_high_rho_low_error
S16,Uniform-8,0.1959441663946135,0.9817267040528744,0.9890530925013684,A_high_rho_low_error
S17,Uniform-8,0.16864813209327992,0.985685273387483,0.9852216748768472,A_high_rho_low_error
S18,Uniform-8,0.1604529779558547,0.9873458481198292,0.9775588396278051,A_high_rho_low_error
S19,Uniform-8,0.24314941557132294,0.9717487435777057,0.9967159277504104,A_high_rho_low_error
S20,Uniform-8,0.20205865945573548,0.9795544376373588,0.986863711001642,A_high_rho_low_error
S21,Uniform-8,0.5493426874227995,0.8358212260565356,0.9890530925013684,B_high_rho_high_error
S22,Uniform-8,0.46620927543182694,0.884720308256242,0.990695128626163,B_high_rho_high_error
S23,Uniform-8,0.18273503558081114,0.9833177891311555,0.983032293377121,A_high_rho_low_error
S24,Uniform-8,0.2705126469652889,0.9627229468886859,0.9797482211275315,B_high_rho_high_error
S25,Uniform-8,0.19199236371468273,0.981545934333674,0.9950738916256158,A_high_rho_low_error
S26,Uniform-8,0.2241978829867014,0.9745602909209181,0.990695128626163,A_high_rho_low_error
S27,Uniform-8,0.2131811646475677,0.9771014758419247,0.9748221127531472,A_high_rho_low_error
S28,Uniform-8,0.17438120901720391,0.9848276937348605,0.9939792008757526,A_high_rho_low_error
S30,Uniform-8,0.15785883770970807,0.9876979322419306,0.9846743295019157,A_high_rho_low_error
S01,NAIG-fold-specific,0.3431711049907139,0.9420221537173884,0.9370552818828682,D_low_rho_high_error
S01,NAIG-fold-specific,0.3379452255587085,0.9443040161152336,0.9403393541324576,D_low_rho_high_error
S01,NAIG-fold-specific,0.3420752980869568,0.9439581438091406,0.9354132457580736,D_low_rho_high_error
S01,NAIG-fold-specific,0.3345113561969025,0.943615809779028,0.9239189928845104,D_low_rho_high_error
S01,NAIG-fold-specific,0.3369521676841719,0.9415876295387926,0.9195402298850576,D_low_rho_high_error
S02,NAIG-fold-specific,0.2865436128203683,0.9581198508447448,0.9578544061302684,B_high_rho_high_error
S02,NAIG-fold-specific,0.2894734227446678,0.957471065512639,0.8741105637657363,D_low_rho_high_error
S02,NAIG-fold-specific,0.2866160834275745,0.9582257302870886,0.875752599890531,D_low_rho_high_error
S02,NAIG-fold-specific,0.7306087894888652,0.8617272759531899,0.9469074986316368,D_low_rho_high_error
S02,NAIG-fold-specific,0.2837860306826524,0.9588956932628888,0.94471811713191,D_low_rho_high_error
S03,NAIG-fold-specific,0.7777479969515391,0.8682671970964001,0.3979200875752601,D_low_rho_high_error
S03,NAIG-fold-specific,0.6101602573885209,0.901778812704232,0.4094143404488232,D_low_rho_high_error
S03,NAIG-fold-specific,0.714717812047796,0.8499694839673033,0.6568144499178982,D_low_rho_high_error
S03,NAIG-fold-specific,0.4848634815444094,0.8749997844845245,0.935960591133005,D_low_rho_high_error
S03,NAIG-fold-specific,0.7190610384657374,0.8662396281279222,0.929392446633826,D_low_rho_high_error
S04,NAIG-fold-specific,0.5968085181717399,0.8368246058046837,0.9841269841269844,B_high_rho_high_error
S04,NAIG-fold-specific,0.59615131757843,0.8366339061732544,0.9868637110016422,B_high_rho_high_error
S04,NAIG-fold-specific,0.562933033246591,0.8438174701904086,0.9737274220032844,B_high_rho_high_error
S04,NAIG-fold-specific,0.5586938063392827,0.8443315730273279,0.9770114942528736,B_high_rho_high_error
S04,NAIG-fold-specific,0.5568845664047015,0.8447359383242781,0.9786535303776684,B_high_rho_high_error
S05,NAIG-fold-specific,0.2055627551062287,0.979450800830854,0.8385331143951834,C_low_rho_low_error
S05,NAIG-fold-specific,0.2030280463288714,0.9796244307389156,0.9627805145046526,A_high_rho_low_error
S05,NAIG-fold-specific,0.196102301381831,0.9808178535860872,0.9644225506294472,A_high_rho_low_error
S05,NAIG-fold-specific,0.2352678045401217,0.975912749577164,0.9846743295019158,A_high_rho_low_error
S05,NAIG-fold-specific,0.1930532838976884,0.9811971912302506,0.9863163656267104,A_high_rho_low_error
S06,NAIG-fold-specific,0.6101482217164914,0.8060942325072347,0.9693486590038316,B_high_rho_high_error
S06,NAIG-fold-specific,0.609841765940359,0.8053492256866607,0.9781061850027368,B_high_rho_high_error
S06,NAIG-fold-specific,0.6110132215113956,0.8056072242732015,0.9770114942528736,B_high_rho_high_error
S06,NAIG-fold-specific,0.5675364043500734,0.8423456801144761,0.9436234263820472,D_low_rho_high_error
S06,NAIG-fold-specific,0.6521715687548343,0.7623170228204911,0.9688013136289,B_high_rho_high_error
S07,NAIG-fold-specific,0.2716464068492699,0.9657966596222052,0.8659003831417625,D_low_rho_high_error
S07,NAIG-fold-specific,0.2730020780733993,0.964826273426123,0.8461959496442256,D_low_rho_high_error
S07,NAIG-fold-specific,0.2681816454573231,0.9655673217000074,0.8872468527640942,D_low_rho_high_error
S07,NAIG-fold-specific,0.3213498276124626,0.9507029540803884,0.9540229885057474,D_low_rho_high_error
S07,NAIG-fold-specific,0.307019588097342,0.9555505177863268,0.9715380405035576,B_high_rho_high_error
S08,NAIG-fold-specific,0.1846853006176663,0.9848261357936364,0.934865900383142,C_low_rho_low_error
S08,NAIG-fold-specific,0.1844519370530696,0.9834198625513264,0.9408866995073892,C_low_rho_low_error
S08,NAIG-fold-specific,0.1811992690054883,0.9840659129365744,0.9408866995073892,C_low_rho_low_error
S08,NAIG-fold-specific,0.1883644377415569,0.9830624659415346,0.9447181171319105,C_low_rho_low_error
S08,NAIG-fold-specific,0.1936810304030606,0.9833968487119278,0.9742747673782158,A_high_rho_low_error
S09,NAIG-fold-specific,0.184206975067568,0.9841336245309243,0.9485495347564314,C_low_rho_low_error
S09,NAIG-fold-specific,0.1711728366011811,0.985634954091712,0.9655172413793104,A_high_rho_low_error
S09,NAIG-fold-specific,0.1719809251337675,0.9855999970754242,0.9671592775041052,A_high_rho_low_error
S09,NAIG-fold-specific,0.2439253294298589,0.9755328231054942,0.9775588396278052,B_high_rho_high_error
S09,NAIG-fold-specific,0.2317233320128564,0.9751073251394629,0.9786535303776684,A_high_rho_low_error
S10,NAIG-fold-specific,0.2754662944825802,0.9633329567412288,0.9698960043787632,B_high_rho_high_error
S10,NAIG-fold-specific,0.2743506809641608,0.9635055979646328,0.9748221127531472,B_high_rho_high_error
S10,NAIG-fold-specific,0.2328776843940264,0.972696719099006,0.9742747673782156,A_high_rho_low_error
