site_id,strategy,K,selected_ex,selected_ex_span_nm,lower_edge_gap_nm,upper_edge_gap_nm,relative_frobenius_error_fullrange,relative_frobenius_error_interpdomain,spectral_cosine_fullrange,reconstruction_supported_fraction_fullrange,unsupported_fraction_fullrange
S11,Uniform,4,300;435;565;700,400,0,0,0.2637237504303027,0.2637237504303027,0.9678764444726567,0.9983128464690287,0.0016871535309713184
S11,Uniform,6,300;380;460;540;620;700,400,0,0,0.24428203929153208,0.24428203929153208,0.9702103098353627,0.9983128464690287,0.0016871535309713184
S11,Uniform,8,300;355;415;470;530;585;645;700,400,0,0,0.18968189175429165,0.18968189175429165,0.9819431266265356,0.9983128464690287,0.0016871535309713184
S12,NAIG,2,365;425,60,65,275,0.21078947840751147,0.1910162121423697,0.979197259288967,0.9681851048445409,0.03181489515545915
S12,NAIG,3,365;425;480,115,65,220,0.2022252841054527,0.21391134712855833,0.980255168422272,0.9681851048445409,0.03181489515545915
S12,NAIG,4,365;425;480;620,255,65,80,0.2004067540891034,0.20031083126195715,0.9806530145449408,0.9681851048445409,0.03181489515545915
S12,NAIG,6,365;425;480;620;545;330,290,30,80,0.27086946881468577,0.28144207377504427,0.9710928565300881,0.9893950349481803,0.010604965051819716
S12,NAIG,8,365;425;480;620;545;330;400;505,290,30,80,0.22291960759994967,0.21855698143779229,0.9776686788843264,0.9893950349481803,0.010604965051819716
S12,Uniform,2,300;700,400,0,0,0.22640166272725012,0.22640166272725012,0.9741856073723025,0.9115449505905038,0.08845504940949626
S12,Uniform,3,300;500;700,400,0,0,0.2113110458876947,0.2113110458876947,0.9778096029128881,0.9363702096890817,0.0636297903109183
S12,Uniform,4,300;435;565;700,400,0,0,0.21936039870856702,0.21936039870856702,0.976070043431952,0.9983128464690287,0.0016871535309713184
S12,Uniform,6,300;380;460;540;620;700,400,0,0,0.2025180204877207,0.2025180204877207,0.9792789745639773,0.9983128464690287,0.0016871535309713184
S12,Uniform,8,300;355;415;470;530;585;645;700,400,0,0,0.18069930464580053,0.18069930464580053,0.9838873267059056,0.9983128464690287,0.0016871535309713184
S13,NAIG,2,365;425,60,65,275,0.21370064927391483,0.1984907470778301,0.9809275912198614,0.9681851048445409,0.03181489515545915
S13,NAIG,3,365;425;480,115,65,220,0.1996236791881607,0.21532051072106087,0.9824794787355375,0.9681851048445409,0.03181489515545915
S13,NAIG,4,365;425;480;620,255,65,80,0.19829863372674122,0.20499595815396712,0.982306678834831,0.9681851048445409,0.03181489515545915
S13,NAIG,6,365;425;480;620;545;685,320,65,15,0.19460824021048048,0.19704294888039076,0.9826859997223658,0.9681851048445409,0.03181489515545915
S13,NAIG,8,365;425;480;620;545;685;505;450,320,65,15,0.18916299285700722,0.18701849830176248,0.9829385349151636,0.9681851048445409,0.03181489515545915
S13,Uniform,2,300;700,400,0,0,0.2430146771654591,0.2430146771654591,0.9703818588393666,0.9115449505905038,0.08845504940949626
S13,Uniform,3,300;500;700,400,0,0,0.23535722789845617,0.23535722789845617,0.9732259508455102,0.9363702096890817,0.0636297903109183
S13,Uniform,4,300;435;565;700,400,0,0,0.24786638600054853,0.24786638600054853,0.9701756240598438,0.9983128464690287,0.0016871535309713184
S13,Uniform,6,300;380;460;540;620;700,400,0,0,0.21509979613255864,0.21509979613255864,0.9769639972842397,0.9983128464690287,0.0016871535309713184
S13,Uniform,8,300;355;415;470;530;585;645;700,400,0,0,0.17799125508421124,0.17799125508421124,0.9842383613569741,0.9983128464690287,0.0016871535309713184
S14,NAIG,2,365;620,255,65,80,0.36990907329036626,0.5304529424973126,0.9447588142996007,0.9681851048445409,0.03181489515545915
S14,NAIG,3,365;620;480,255,65,80,0.3351861712470878,0.4647058456416617,0.9503103898510877,0.9681851048445409,0.03181489515545915
S14,NAIG,4,365;620;480;425,255,65,80,0.28218267173967226,0.3534514867352116,0.9626888740071278,0.9681851048445409,0.03181489515545915
S14,NAIG,6,365;620;480;425;545;325,295,25,80,0.3564762414690246,0.38179486404529506,0.9481909818976046,0.9910821884791516,0.008917811520848397
S14,NAIG,8,365;620;480;425;545;325;525;450,295,25,80,0.32739108070894274,0.3435364818197405,0.9546847661577421,0.9910821884791516,0.008917811520848397
S14,Uniform,2,300;700,400,0,0,0.31438290456055207,0.31438290456055207,0.949691650313351,0.9115449505905038,0.08845504940949626
S14,Uniform,3,300;500;700,400,0,0,0.30697056842460785,0.30697056842460785,0.9538597883808299,0.9363702096890817,0.0636297903109183
S14,Uniform,4,300;435;565;700,400,0,0,0.31931489264701846,0.31931489264701846,0.9513245575699193,0.9983128464690287,0.0016871535309713184
S14,Uniform,6,300;380;460;540;620;700,400,0,0,0.2853299547679544,0.2853299547679544,0.9592694263475157,0.9983128464690287,0.0016871535309713184
S14,Uniform,8,300;355;415;470;530;585;645;700,400,0,0,0.23754971007943187,0.23754971007943187,0.9726133489166786,0.9983128464690287,0.0016871535309713184
S15,NAIG,2,365;425,60,65,275,0.17973215202043769,0.16956828958176268,0.9838874143576395,0.9681851048445409,0.03181489515545915
S15,NAIG,3,365;425;620,255,65,80,0.17659546416781335,0.17005843326085113,0.9846431328307992,0.9681851048445409,0.03181489515545915
S15,NAIG,4,365;425;620;545,255,65,80,0.17664495398329186,0.17217256263840602,0.9844587679552328,0.9681851048445409,0.03181489515545915
S15,NAIG,6,365;425;620;545;475;345,275,45,80,0.18235663089380139,0.18092464532290323,0.9848155846616012,0.9930103639431188,0.0069896360568811764
S15,NAIG,8,365;425;620;545;475;345;505;305,315,5,80,0.19293585309495254,0.19158652060700915,0.9817058650552861,0.997589780670041,0.002410219329959026
S15,Uniform,2,300;700,400,0,0,0.17669130038609385,0.17669130038609385,0.9842665949039989,0.9115449505905038,0.08845504940949626
S15,Uniform,3,300;500;700,400,0,0,0.16053334125164004,0.16053334125164004,0.9880811465646064,0.9363702096890817,0.0636297903109183
S15,Uniform,4,300;435;565;700,400,0,0,0.16424413270260035,0.16424413270260035,0.9865758515554546,0.9983128464690287,0.0016871535309713184
S15,Uniform,6,300;380;460;540;620;700,400,0,0,0.1563736326309432,0.1563736326309432,0.987702486568628,0.9983128464690287,0.0016871535309713184
S15,Uniform,8,300;355;415;470;530;585;645;700,400,0,0,0.14947804368828174,0.14947804368828174,0.9888013285370817,0.9983128464690287,0.0016871535309713184
S16,NAIG,2,365;425,60,65,275,0.23392504171128084,0.15820494966319493,0.9734559453171963,0.9681851048445409,0.03181489515545915
S16,NAIG,3,365;425;480,115,65,220,0.22324259983229464,0.21277269999794823,0.9751242983313262,0.9681851048445409,0.03181489515545915
S16,NAIG,4,365;425;480;620,255,65,80,0.21923782591378058,0.2037551163355815,0.9759846076710876,0.9681851048445409,0.03181489515545915
S16,NAIG,6,365;425;480;620;545;325,295,25,80,0.299099421297745,0.30990355889517635,0.9656738186492807,0.9910821884791516,0.008917811520848397
S16,NAIG,8,365;425;480;620;545;325;505;400,295,25,80,0.26050509098175223,0.26444361112197906,0.970080878154002,0.9910821884791516,0.008917811520848397
S16,Uniform,2,300;700,400,0,0,0.2502829153483109,0.2502829153483109,0.9681814635061259,0.9115449505905038,0.08845504940949626
