site_id,strategy,K,selected_ex,relative_frobenius_error_fullrange,relative_frobenius_error_interpdomain,spectral_cosine_fullrange,spectral_cosine_interpdomain,reconstruction_supported_fraction_fullrange,unsupported_fraction_fullrange
S13,NAIG,6,365;425;480;620;545;685,0.1946082402104804,0.1970429488803907,0.9826859997223658,0.9830000218059368,0.9681851048445408,0.0318148951554591
S13,NAIG,8,365;425;480;620;545;685;505;450,0.1891629928570072,0.1870184983017624,0.9829385349151636,0.9833403255903695,0.9681851048445408,0.0318148951554591
S13,Uniform,2,300;700,0.2430146771654591,0.2430146771654591,0.9703818588393666,0.9703818588393666,0.9115449505905038,0.0884550494094962
S13,Uniform,3,300;500;700,0.2353572278984561,0.2353572278984561,0.9732259508455102,0.9732259508455102,0.9363702096890816,0.0636297903109183
S13,Uniform,4,300;435;565;700,0.2478663860005485,0.2478663860005485,0.9701756240598438,0.9701756240598438,0.9983128464690288,0.0016871535309713
S13,Uniform,6,300;380;460;540;620;700,0.2150997961325586,0.2150997961325586,0.9769639972842395,0.9769639972842395,0.9983128464690288,0.0016871535309713
S13,Uniform,8,300;355;415;470;530;585;645;700,0.1779912550842112,0.1779912550842112,0.984238361356974,0.984238361356974,0.9983128464690288,0.0016871535309713
S14,NAIG,2,365;620,0.3699090732903662,0.5304529424973126,0.9447588142996008,0.934796732001789,0.9681851048445408,0.0318148951554591
S14,NAIG,3,365;620;480,0.3351861712470878,0.4647058456416617,0.9503103898510876,0.9345454149617464,0.9681851048445408,0.0318148951554591
S14,NAIG,4,365;620;480;425,0.2821826717396722,0.3534514867352116,0.9626888740071278,0.9558136766938524,0.9681851048445408,0.0318148951554591
S14,NAIG,6,365;620;480;425;545;325,0.3564762414690246,0.381794864045295,0.9481909818976046,0.940948493461116,0.9910821884791516,0.0089178115208483
S14,NAIG,8,365;620;480;425;545;325;525;450,0.3273910807089427,0.3435364818197405,0.954684766157742,0.9496588230800868,0.9910821884791516,0.0089178115208483
S14,Uniform,2,300;700,0.314382904560552,0.314382904560552,0.949691650313351,0.949691650313351,0.9115449505905038,0.0884550494094962
S14,Uniform,3,300;500;700,0.3069705684246078,0.3069705684246078,0.95385978838083,0.95385978838083,0.9363702096890816,0.0636297903109183
S14,Uniform,4,300;435;565;700,0.3193148926470184,0.3193148926470184,0.9513245575699192,0.9513245575699192,0.9983128464690288,0.0016871535309713
S14,Uniform,6,300;380;460;540;620;700,0.2853299547679544,0.2853299547679544,0.9592694263475156,0.9592694263475156,0.9983128464690288,0.0016871535309713
S14,Uniform,8,300;355;415;470;530;585;645;700,0.2375497100794318,0.2375497100794318,0.9726133489166786,0.9726133489166786,0.9983128464690288,0.0016871535309713
S15,NAIG,2,365;425,0.1797321520204376,0.1695682895817626,0.9838874143576396,0.986289192536692,0.9681851048445408,0.0318148951554591
S15,NAIG,3,365;425;620,0.1765954641678133,0.1700584332608511,0.9846431328307992,0.9855490662452018,0.9681851048445408,0.0318148951554591
S15,NAIG,4,365;425;620;545,0.1766449539832918,0.172172562638406,0.9844587679552328,0.9850922204803018,0.9681851048445408,0.0318148951554591
S15,NAIG,6,365;425;620;545;475;345,0.1823566308938013,0.1809246453229032,0.9848155846616012,0.9849876295339268,0.9930103639431188,0.0069896360568811
S15,NAIG,8,365;425;620;545;475;345;505;305,0.1929358530949525,0.1915865206070091,0.981705865055286,0.981805842613874,0.997589780670041,0.002410219329959
S15,Uniform,2,300;700,0.1766913003860938,0.1766913003860938,0.9842665949039988,0.9842665949039988,0.9115449505905038,0.0884550494094962
S15,Uniform,3,300;500;700,0.16053334125164,0.16053334125164,0.9880811465646064,0.9880811465646064,0.9363702096890816,0.0636297903109183
S15,Uniform,4,300;435;565;700,0.1642441327026003,0.1642441327026003,0.9865758515554546,0.9865758515554546,0.9983128464690288,0.0016871535309713
S15,Uniform,6,300;380;460;540;620;700,0.1563736326309432,0.1563736326309432,0.987702486568628,0.987702486568628,0.9983128464690288,0.0016871535309713
S15,Uniform,8,300;355;415;470;530;585;645;700,0.1494780436882817,0.1494780436882817,0.9888013285370816,0.9888013285370816,0.9983128464690288,0.0016871535309713
S16,NAIG,2,365;425,0.2339250417112808,0.1582049496631949,0.9734559453171964,0.9883830077137736,0.9681851048445408,0.0318148951554591
S16,NAIG,3,365;425;480,0.2232425998322946,0.2127726999979482,0.9751242983313262,0.9797823437375556,0.9681851048445408,0.0318148951554591
S16,NAIG,4,365;425;480;620,0.2192378259137805,0.2037551163355815,0.9759846076710876,0.9806265853014344,0.9681851048445408,0.0318148951554591
S16,NAIG,6,365;425;480;620;545;325,0.299099421297745,0.3099035588951763,0.9656738186492808,0.9641116866678504,0.9910821884791516,0.0089178115208483
S16,NAIG,8,365;425;480;620;545;325;505;400,0.2605050909817522,0.264443611121979,0.970080878154002,0.9691515177502944,0.9910821884791516,0.0089178115208483
S16,Uniform,2,300;700,0.2502829153483109,0.2502829153483109,0.968181463506126,0.968181463506126,0.9115449505905038,0.0884550494094962
S16,Uniform,3,300;500;700,0.2391072123068716,0.2391072123068716,0.9722001316394338,0.9722001316394338,0.9363702096890816,0.0636297903109183
S16,Uniform,4,300;435;565;700,0.2400489558737602,0.2400489558737602,0.9719982728004404,0.9719982728004404,0.9983128464690288,0.0016871535309713
S16,Uniform,6,300;380;460;540;620;700,0.2217394752949569,0.2217394752949569,0.975116025957796,0.975116025957796,0.9983128464690288,0.0016871535309713
S16,Uniform,8,300;355;415;470;530;585;645;700,0.1959441663946135,0.1959441663946135,0.9817267040528744,0.9817267040528744,0.9983128464690288,0.0016871535309713
S17,NAIG,2,365;425,0.2087258104443328,0.1849298840948352,0.9804862412031417,0.9839768898511488,0.9681851048445408,0.0318148951554591
S17,NAIG,3,365;425;480,0.2058789362260526,0.1986593793560818,0.9807673437439411,0.98160435255234,0.9681851048445408,0.0318148951554591
S17,NAIG,4,365;425;480;620,0.2045913742222351,0.1892634579674327,0.9808439129742588,0.983089220082388,0.9681851048445408,0.0318148951554591
S17,NAIG,6,365;425;480;620;545;325,0.2216227265169894,0.2085880311443806,0.9793046005631526,0.9806203220077124,0.9910821884791516,0.0089178115208483
S17,NAIG,8,365;425;480;620;545;325;505;400,0.2092421592118178,0.1935732448712411,0.9807716095435428,0.9826966290411526,0.9910821884791516,0.0089178115208483
S17,Uniform,2,300;700,0.2403465753657079,0.2403465753657079,0.9714743859351792,0.9714743859351792,0.9115449505905038,0.0884550494094962
S17,Uniform,3,300;500;700,0.2212124289751953,0.2212124289751953,0.9786592538389488,0.9786592538389488,0.9363702096890816,0.0636297903109183
S17,Uniform,4,300;435;565;700,0.2196210084276547,0.2196210084276547,0.9788599081587668,0.9788599081587668,0.9983128464690288,0.0016871535309713
S17,Uniform,6,300;380;460;540;620;700,0.1982739222337553,0.1982739222337553,0.9805839152078648,0.9805839152078648,0.9983128464690288,0.0016871535309713
S17,Uniform,8,300;355;415;470;530;585;645;700,0.1686481320932799,0.1686481320932799,0.985685273387483,0.985685273387483,0.9983128464690288,0.0016871535309713
S18,NAIG,2,365;480,0.2090251748794271,0.2520384356987361,0.9820253932047738,0.977091069620364,0.9681851048445408,0.0318148951554591
S18,NAIG,3,365;480;545,0.2053009499500403,0.2362096240323927,0.98264878538098,0.9783839851870734,0.9681851048445408,0.0318148951554591
S18,NAIG,4,365;480;545;425,0.2456662717657157,0.2585657554392259,0.9781772353730486,0.9767361488356188,0.9681851048445408,0.0318148951554591
S18,NAIG,6,365;480;545;425;620;330,0.2176825320409652,0.2241519913514532,0.9816261558514224,0.9799025899069416,0.9893950349481804,0.0106049650518197
S18,NAIG,8,365;480;545;425;620;330;505;305,0.2146093310535987,0.2133281896669171,0.9781508033351152,0.9780224707584044,0.9983128464690288,0.0016871535309713
