site_id,strategy,K,selected_ex,rho_structure,relative_frobenius_error_fullrange,spectral_cosine_fullrange
S03,Uniform,4,300;435;565;700,0.9014778325123152,0.3364728732957402,0.9457036006607438
S03,Uniform,6,300;380;460;540;620;700,0.9403393541324576,0.1867008457860056,0.9824227513217736
S03,Uniform,8,300;355;415;470;530;585;645;700,0.9824849480021896,0.1734598379912205,0.9863949282249332
S04,NAIG,2,425;360,0.9841269841269844,0.5968085181717399,0.8368246058046837
S04,NAIG,3,425;360;620,0.9868637110016422,0.59615131757843,0.8366339061732544
S04,NAIG,4,425;360;620;465,0.9737274220032844,0.562933033246591,0.8438174701904086
S04,NAIG,6,425;360;620;465;545;525,0.9770114942528736,0.5586938063392827,0.8443315730273279
S04,NAIG,8,425;360;620;465;545;525;505;695,0.9786535303776684,0.5568845664047015,0.8447359383242781
S04,Uniform,2,300;700,0.9064039408866996,0.4337658040580569,0.91473874584821
S04,Uniform,3,300;500;700,0.9682539682539684,0.4339337273148649,0.9186975621832896
S04,Uniform,4,300;435;565;700,0.9792008757526,0.4423983051400265,0.917631260685178
S04,Uniform,6,300;380;460;540;620;700,0.9906951286261632,0.4250998923174594,0.912732612465352
S04,Uniform,8,300;355;415;470;530;585;645;700,0.9928845101258896,0.3580493935409186,0.9349537912339788
S05,NAIG,2,365;620,0.8385331143951834,0.2055627551062287,0.979450800830854
S05,NAIG,3,365;620;435,0.9627805145046526,0.2030280463288714,0.9796244307389156
S05,NAIG,4,365;620;435;545,0.9644225506294472,0.196102301381831,0.9808178535860872
S05,NAIG,6,365;620;435;545;475;345,0.9846743295019158,0.2352678045401217,0.975912749577164
S05,NAIG,8,365;620;435;545;475;345;305;505,0.9863163656267104,0.1930532838976884,0.9811971912302506
S05,Uniform,2,300;700,0.6962233169129721,0.2173135173856565,0.9769431601688946
S05,Uniform,3,300;500;700,0.8412698412698415,0.1854296170638486,0.9826605831713452
S05,Uniform,4,300;435;565;700,0.9195402298850576,0.1887062065457601,0.9820443288479296
S05,Uniform,6,300;380;460;540;620;700,0.9430760810071156,0.1784395404405651,0.9840413075470806
S05,Uniform,8,300;355;415;470;530;585;645;700,0.9852216748768474,0.1719851548689386,0.9860141034011202
S06,NAIG,2,365;425,0.9693486590038316,0.6101482217164914,0.8060942325072347
S06,NAIG,3,365;425;610,0.9781061850027368,0.609841765940359,0.8053492256866607
S06,NAIG,4,365;425;610;545,0.9770114942528736,0.6110132215113956,0.8056072242732015
S06,NAIG,6,365;425;610;545;505;450,0.9436234263820472,0.5675364043500734,0.8423456801144761
S06,NAIG,8,365;425;610;545;505;450;305;695,0.9688013136289,0.6521715687548343,0.7623170228204911
S06,Uniform,2,300;700,0.8149972632731254,0.6458905269782164,0.7832669019475084
S06,Uniform,3,300;500;700,0.9020251778872468,0.6383526079779658,0.7820889947878827
S06,Uniform,4,300;435;565;700,0.9830322933771212,0.627489671410028,0.7789630282734716
S06,Uniform,6,300;380;460;540;620;700,0.981937602627258,0.5648078342247765,0.8285099263059743
S06,Uniform,8,300;355;415;470;530;585;645;700,0.9906951286261632,0.5449812609236478,0.8385035477711716
S07,NAIG,2,365;425,0.8659003831417625,0.2716464068492699,0.9657966596222052
S07,NAIG,3,365;425;480,0.8461959496442256,0.2730020780733993,0.964826273426123
S07,NAIG,4,365;425;480;575,0.8872468527640942,0.2681816454573231,0.9655673217000074
S07,NAIG,6,365;425;480;575;510;305,0.9540229885057474,0.3213498276124626,0.9507029540803884
S07,NAIG,8,365;425;480;575;510;305;695;625,0.9715380405035576,0.307019588097342,0.9555505177863268
S07,Uniform,2,300;700,0.5593869731800767,0.3262773494004187,0.9551992488199628
S07,Uniform,3,300;500;700,0.8308702791461414,0.3125196672107272,0.9622107253518082
S07,Uniform,4,300;435;565;700,0.9337712096332788,0.3086617941757957,0.9604565923481378
S07,Uniform,6,300;380;460;540;620;700,0.9589490968801314,0.2739200048154785,0.9638378383861194
S07,Uniform,8,300;355;415;470;530;585;645;700,0.984126984126984,0.2491469863486609,0.9685776767483136
S08,NAIG,2,365;425,0.934865900383142,0.1846853006176663,0.9848261357936364
S08,NAIG,3,365;425;480,0.9408866995073892,0.1844519370530696,0.9834198625513264
S08,NAIG,4,365;425;480;620,0.9408866995073892,0.1811992690054883,0.9840659129365744
S08,NAIG,6,365;425;480;620;545;330,0.9447181171319105,0.1883644377415569,0.9830624659415346
S08,NAIG,8,365;425;480;620;545;330;505;400,0.9742747673782158,0.1936810304030606,0.9833968487119278
S08,Uniform,2,300;700,0.8483853311439519,0.188186769187737,0.982188174072459
