strategy,K,selected_ex,relative_frobenius_error_fullrange,spectral_cosine_fullrange,rho_structure
NAIG,6,365;620;435;545;475;345,0.2352678045401217,0.975912749577164,0.9846743295019158
NAIG,8,365;620;435;545;475;345;305;505,0.1930532838976884,0.9811971912302506,0.9863163656267104
Uniform,2,300;700,0.2173135173856565,0.9769431601688946,0.6962233169129721
Uniform,3,300;500;700,0.1854296170638486,0.9826605831713452,0.8412698412698415
Uniform,4,300;435;565;700,0.1887062065457601,0.9820443288479296,0.9195402298850576
Uniform,6,300;380;460;540;620;700,0.1784395404405651,0.9840413075470806,0.9430760810071156
Uniform,8,300;355;415;470;530;585;645;700,0.1719851548689386,0.9860141034011202,0.9852216748768474
NAIG,2,365;425,0.6101482217164914,0.8060942325072347,0.9693486590038316
NAIG,3,365;425;610,0.609841765940359,0.8053492256866607,0.9781061850027368
NAIG,4,365;425;610;545,0.6110132215113956,0.8056072242732015,0.9770114942528736
NAIG,6,365;425;610;545;505;450,0.5675364043500734,0.8423456801144761,0.9436234263820472
NAIG,8,365;425;610;545;505;450;305;695,0.6521715687548343,0.7623170228204911,0.9688013136289
Uniform,2,300;700,0.6458905269782164,0.7832669019475084,0.8149972632731254
Uniform,3,300;500;700,0.6383526079779658,0.7820889947878827,0.9020251778872468
Uniform,4,300;435;565;700,0.627489671410028,0.7789630282734716,0.9830322933771212
Uniform,6,300;380;460;540;620;700,0.5648078342247765,0.8285099263059743,0.981937602627258
Uniform,8,300;355;415;470;530;585;645;700,0.5449812609236478,0.8385035477711716,0.9906951286261632
NAIG,2,365;425,0.2716464068492699,0.9657966596222052,0.8659003831417625
NAIG,3,365;425;480,0.2730020780733993,0.964826273426123,0.8461959496442256
NAIG,4,365;425;480;575,0.2681816454573231,0.9655673217000074,0.8872468527640942
NAIG,6,365;425;480;575;510;305,0.3213498276124626,0.9507029540803884,0.9540229885057474
NAIG,8,365;425;480;575;510;305;695;625,0.307019588097342,0.9555505177863268,0.9715380405035576
Uniform,2,300;700,0.3262773494004187,0.9551992488199628,0.5593869731800767
Uniform,3,300;500;700,0.3125196672107272,0.9622107253518082,0.8308702791461414
Uniform,4,300;435;565;700,0.3086617941757957,0.9604565923481378,0.9337712096332788
Uniform,6,300;380;460;540;620;700,0.2739200048154785,0.9638378383861194,0.9589490968801314
Uniform,8,300;355;415;470;530;585;645;700,0.2491469863486609,0.9685776767483136,0.984126984126984
NAIG,2,365;425,0.1846853006176663,0.9848261357936364,0.934865900383142
NAIG,3,365;425;480,0.1844519370530696,0.9834198625513264,0.9408866995073892
NAIG,4,365;425;480;620,0.1811992690054883,0.9840659129365744,0.9408866995073892
NAIG,6,365;425;480;620;545;330,0.1883644377415569,0.9830624659415346,0.9447181171319105
NAIG,8,365;425;480;620;545;330;505;400,0.1936810304030606,0.9833968487119278,0.9742747673782158
Uniform,2,300;700,0.188186769187737,0.982188174072459,0.8483853311439519
Uniform,3,300;500;700,0.1732215065337171,0.9854296411750552,0.8587848932676518
Uniform,4,300;435;565;700,0.1713791011458277,0.9857878687741276,0.908593322386426
Uniform,6,300;380;460;540;620;700,0.1627579821568142,0.986749528049688,0.9064039408866996
